"","X","ReleaseDate","Title","ProductionBudget","OpeningWeekend","DomesticBox.Office","WorldwideBox.Office","Trailer","MPAA_Rating_NC.17","MPAA_Rating_Not.Rated","MPAA_Rating_PG","MPAA_Rating_PG.13","MPAA_Rating_PG.13.fight..Rating.bulletin.2329..7.2.2014.","MPAA_Rating_R","Production_Method_Digital.Animation","Production_Method_Hand.Animation","Production_Method_Live.Action","Production_Method_Multiple.Production.Methods","Production_Method_Stop.Motion.Animation","Genre_Adventure","Genre_Black.Comedy","Genre_Comedy","Genre_Concert.Performance","Genre_Documentary","Genre_Drama","Genre_Horror","Genre_Multiple.Genres","Genre_Musical","Genre_Reality","Genre_Romantic.Comedy","Genre_Thriller.Suspense","Genre_Western","Running_Time","Keywords","Franchise","Production_Companies","Production_Countries","Source_Based.on.Comic.Graphic.Novel","Source_Based.on.Factual.Book.Article","Source_Based.on.Fiction.Book.Short.Story","Source_Based.on.Folk.Tale.Legend.Fairytale","Source_Based.on.Game","Source_Based.on.Movie","Source_Based.on.Musical.Group","Source_Based.on.Musical.or.Opera","Source_Based.on.Play","Source_Based.on.Real.Life.Events","Source_Based.on.Religious.Text","Source_Based.on.Short.Film","Source_Based.on.Song","Source_Based.on.Theme.Park.Ride","Source_Based.on.Toy","Source_Based.on.TV","Source_Based.on.Web.Series","Source_Compilation","Source_Original.Screenplay","Source_Remake","Source_Spin.Off","Creative_Type_Dramatization","Creative_Type_Factual","Creative_Type_Fantasy","Creative_Type_Historical.Fiction","Creative_Type_Kids.Fiction","Creative_Type_Multiple.Creative.Types","Creative_Type_Production.Countries.","Creative_Type_Science.Fiction","Creative_Type_Super.Hero","warner","Columbia","Universal_Pictures","Walt_Disney_Pictures","Marvel_Studios","Paramount_Pictures","Century_Fox","Relativity_Media","DreamWorks_Pictures","New_Line_Cinema","Dune_Entertainment","Canal_Plus","Regency_Enterprises","Lionsgate","BBC_Films","StudioCanal","Working_Title_Films","Blumhouse","BFI","France","Cine_Plus","Participant_Media","Village_Roadshow_Productions","Metro_Goldwyn_Mayer_Pictures","Year","month_Aug","month_Dec","month_Feb","month_Jan","month_Jul","month_Jun","month_Mar","month_May","month_Nov","month_Oct","month_Sep","month_Spr","Production_Countries.US","Production_Countries.NonUS"
"21",21,"Feb 9, 2018","The 15:17 to Paris",3e+07,12554286,36250957,56070897,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94,"Non-Chronological, 2010s, Ex-soldier, Terrorism, Trains, Nightclub, Non Professional Actor, Autobiographical",0,"Village Roadshow Productions, Warner Bros., Malpaso Productions, Access Motion Pictures, Dune Entertainment","United States",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"22",22,"Jul 21, 2017","Dunkirk",1.5e+08,50513488,190068280,499900860,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,"World War II, France, 1940s, Nazis, Germany, Mass Evacuation, War",0,"Warner Bros., Syncopy, RatPac Entertainment, Dune Entertainment","France,Netherlands,United Kingdom,United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"23",23,"Jun 2, 2017","Wonder Woman",1.5e+08,103251471,412563408,821133378,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,"D.C. Comics, War, World War I, Gods and Goddesses, Origin Story, Marooned, Greek Mythology, 1910s, Secret Agent, Development Hell, Prologue, Voiceover/Narration, Non-Chronological",1,"Warner Bros., Atlas Entertainment, Cruel and Unusual Films, RatPac Entertainment, Dune Entertainment, Tencent Pictures , Wanda Pictures","United States",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"24",24,"May 12, 2017","King Arthur: Legend of the …",1.75e+08,15371270,39175066,139950708,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,126,"Royalty, Prophecy, Orphan, Sword & Sorcerer, Footage Shown in Reverse, Young Child Dealing with the Death of a Parent, Revenge, Middle Ages",0,"Weed Road Pictures, Warner Bros., Village Roadshow Productions, RatPac Entertainment, Dune Entertainment, Safehouse Pictures","Australia,United States",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"25",25,"Apr 21, 2017","Unforgettable",1.2e+07,4785431,11368012,16221211,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114,"Romance, Relationships Gone Wrong, Obsessive Love, The Other Woman, Social Media",0,"Warner Bros., RatPac Entertainment, Dune Entertainment, Di Novi Pictures","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"26",26,"Mar 24, 2017","CHiPS",2.5e+07,7722802,18600152,23190697,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"California, Hollywood, Corrupt Cops, Undercover, FBI, Buddy Cop, Adapted as a Comedy, Directing Yourself, Screenplay Written By the Star, Family Affair",0,"Warner Bros., Panay Films, RatPac Entertainment, Dune Entertainment","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"27",27,"Mar 15, 2017","Frantz",NA,18745,880883,7356327,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,113,"World War I, Germany, Death of a Spouse or Fiancée / Fiancé, Retro Black and White, Suicide, Suicide Attempt, Voiceover/Narration, 1910s, Bigotry, Depression, Non-Chronological",0,"Mandarin Cinema, X Filme Creative Pool, Foz, Universal Pictures, Canal Plus, Cine Plus, France Television, Warner Bros.","France,Germany",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"28",28,"Mar 10, 2017","Kong: Skull Island",1.85e+08,61025472,168052812,561089941,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,118,"Creature Features, Character POV shot, 1970s, Prequel, Reboot, Franchise Crossover, Visual Effects, Scene in End Credits",1,"Legendary Pictures, Warner Bros., Tencent Pictures ","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"29",29,"Feb 24, 2017","The Girl with all the Gifts",5250000,NA,NA,4801837,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,111,"Novel or Other Work Adapted by Author, Young Adult Book Adaptation, Post Apocalypse, Zombies, Human Experimentation, Medical and Hospitals, Coming of Age",0,"BFI, Creative England, Altitude Film Entertainment, Warner Bros., Poison Chef","United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"30",30,"Feb 10, 2017","The Lego Batman Movie",8e+07,53003468,175750384,310692896,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106,"D.C. Comics, Vigilante, Adopted Family, Living Toys, Gratuitous Cameos",1,"Warner Bros., Lego Systems A/S , Lin Pictures, Lord Miller, Vertigo Entertainment, Warner Animation Group","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,1,0,0,0,0,0,0,0,0,0,1,0
