"","ReleaseDate","Title","ProductionBudget","OpeningWeekend","DomesticBox Office","WorldwideBox Office","Trailer","MPAA_Rating","Production_Method","Genre","Running_Time","Keywords","Franchise","Production_Companies","Production_Countries","Source","Creative_Type","warner","Columbia","Universal_Pictures","Walt_Disney_Pictures","Marvel_Studios","Paramount_Pictures","Century_Fox","Relativity_Media","DreamWorks_Pictures","New_Line_Cinema","Dune_Entertainment","Canal_Plus","Regency_Enterprises","Lionsgate","BBC_Films","StudioCanal","Working_Title_Films","Blumhouse","BFI","France","Cine_Plus","Participant_Media","Village_Roadshow_Productions","Metro_Goldwyn_Mayer_Pictures","Year","month"
"2501","Dec 25, 1998","A Civil Action",6e+07,70079,56709981,56709981,0,"PG-13","Live Action","Drama",120,"Lawyers",0,"Scott Rudin Productions","United States","Based on Fiction Book/Short Story","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,"Dec"
"2502","Jun 5, 1998","The Truman Show",6e+07,31542121,125618201,264118201,0,"PG","Live Action","Drama",104,"TV Industry, Reality TV, 1990s, False Identity, Life in a Small Town, Escape, Hidden Camera",0,"Scott Rudin Productions","United States","Original Screenplay","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,"Jun"
"2503","Dec 15, 1995","Sabrina",5.8e+07,5563259,53458319,87100000,0,"PG","Live Action","Romantic Comedy",125,"Romance",0,"Mirage, Scott Rudin Productions, Sandollar","United States","Remake","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"Dec"
"2504","Jun 30, 1993","The Firm",4.2e+07,32476785,158340892,270340892,0,"R","Live Action","Thriller/Suspense",155,"Lawyers, Mafia",0,"John Davis, Scott Rudin Productions, Mirage","United States","Based on Fiction Book/Short Story","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,"Jun"
"2505","Jul 10, 1991","Regarding Henry",NA,6146782,43001500,43001500,0,"PG-13","Live Action","Drama",107,NA,0,"Scott Rudin Productions","United States","Original Screenplay","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,"Jul"
"2508","Oct 27, 2017","Suburbicon",NA,2840246,5775178,12021615,1,"R","Live Action","Black Comedy",105,"Crime Caper, Death of a Spouse or Fiancée / Fiancé, Young Child Dealing with the Death of a Parent, Infidelity, Life in a Small Town, 1950s, Suburbs, Loan Shark, Money Troubles, Organized Crime, Twins, Dysfunctional Family, Same Actor, Multiple Roles, Insurance Fraud, Relationships Gone Wrong, Familial Murder, Bigotry, African-American",0,"Black Bear, Silver Pictures, Smoke House Pictures","United States","Original Screenplay","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Oct"
"2509","Feb 24, 2017","Collide",29200000,1512824,2280004,5466631,1,"PG-13","Live Action","Action",99,"Heist, Fugitive / On the Run, Organized Crime, Narcotics, Smuggler, Medical and Hospitals, Development Hell, Delayed Release, Crime Thriller",0,"Sycamore Pictures, Automatik, DMG Entertainment, Silver Pictures, Autobahn Film Gmbh","United Kingdom","Original Screenplay","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Feb"
"2511","Mar 20, 2015","The Gunman",4e+07,5028702,10664749,18593837,0,"R","Live Action","Thriller/Suspense",115,"Hitmen, Political Assassination, Retirement, Corporate Malfeasance, Revenge, Out of Retirement, Rescue, Kidnap, Ex-soldier, Special Ops, PTSD",0,"Silver Pictures, Nostromo Pictures, Prone Gunman AIE, Prone Gunman Limited, TF1 Film Productions, Canal Plus","France,Spain,United Kingdom,United States","Based on Fiction Book/Short Story","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Mar"
"2512","Feb 28, 2014","Non-Stop",5e+07,28875635,91742160,222383055,1,"PG-13","Live Action","Action",110,"Terrorism, In a Plane, Falsely Accused, Addiction, Intertitle, Cancer, Death of a Son or Daughter, News, Revenge, Returning Soldiers",0,"Silver Pictures, Anton Capital Entertainment, Lovefilm","United States","Original Screenplay","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,"Feb"
"2515","Jan 15, 2010","The Book of Eli",8e+07,32789494,94835059,158750817,1,"R","Live Action","Action",118,"Post Apocalypse",0,"Alcon Entertainment, Silver Pictures","United States","Original Screenplay","Science Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,"Jan"
"2518","Nov 9, 2007","Fred Claus",NA,18515473,72006777,97837638,0,"PG","Live Action","Comedy",115,"Christmas, Christmas in November, Dysfunctional Family",0,"Silver Pictures, David Dobkin Pictures, Jessie Nelson Productions","United States","Original Screenplay","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,"Nov"
"2521","Dec 31, 2005","Dungeons & Dragons: Wrath o…",1.5e+07,NA,NA,909822,0,NA,"Live Action","Adventure",105,"TV Movie",1,"Silver Pictures","United States","Based on Game","Fantasy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,"Dec"
"2523","Feb 28, 2003","Cradle 2 the Grave",2.5e+07,16521486,34657731,56434942,0,"R","Live Action","Action",99,NA,0,"Silver Pictures","United States","Original Screenplay","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,"Feb"
"2525","Dec 8, 2000","Dungeons and Dragons",3.5e+07,7237422,15185241,33771965,0,"PG-13","Live Action","Adventure",NA,"Sword & Sorcerer, Voiceover/Narration, Prologue, Dragon",1,"Silver Pictures",NA,"Based on Game","Fantasy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,"Dec"
